20/11/24 B2S7 ,Checking scouting after Savage spray on 16/11/24,,,,11/20/24,,,,,,,,,,,,,,,,
Iterms,,,,,,,,,,,,,,,,,,,,,
lnsect pests,"Partial 1 nut borer larvae, black citrus aphids, broad mites and few thrips",,,,,,,,,,,,,,,,,,,,
diseases,"Pass, 2 plants with sterm canker",,,,,,,,,,,,,,,,,,,,
basins,"pass,still clean",,,,,,,,,,,,,,,,,,,,
inrows,"fail, to be slashed",,,,,,,,,,,,,,,,,,,,
mowing,partial,,,,,,,,,,,,,,,,,,,,
inaccessibles,partial,,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
deadplants,"pass,",,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
nutsetting,"pass,",,,,,,,,,,,,,,,,,,,,
nutdrop,"pass,",,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B1S1,,,,,,,,,,,,,,,,,,,,,
Insect pests,"partial,few thrips,rapid meally bugs on nuts stalk",,,,,,,,,,,,,,,,,,,,
diseases,"partial,black sooty mould",,,,,,,,,,,,,,,,,,,,
basins,"partial,inprogrees",,,,,,,,,,,,,,,,,,,,
inrows,"fail, to be slashed",,,,,,,,,,,,,,,,,,,,
mowing,"partial,inprogrees",,,,,,,,,,,,,,,,,,,,
inaccessibles,"partia, small portion to be slashed",,,,,,,,,,,,,,,,,,,,
contours,"fail, to be slashed",,,,,,,,,,,,,,,,,,,,
nutsetting,"pass,",,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,"pass,",,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
health status,partial sooty mould need control,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
21/11/24 B1S2,,,,,,,,,,,,,,,,,,,,,
Insect pests,"partial,few thrips,rapid meally bugs on nuts stalk",,,,,,,,,,,,,,,,,,,,
diseases,"pass,",,,,,,,,,,,,,,,,,,,,
basins,"pass,",,,,,,,,,,,,,,,,,,,,
inrows,"fail, to be slashed",,,,,,,,,,,,,,,,,,,,
mowing,"fail,need action",,,,,,,,,,,,,,,,,,,,
inaccessibles,"fail,",,,,,,,,,,,,,,,,,,,,
contours,"fail,",,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
nutsetting,"pass,",,,,,,,,,,,,,,,,,,,,
nutdrop,"pass,",,,,,,,,,,,,,,,,,,,,
health status,"developing nuts looks healthy and green,however black sooty mould",,,,,,,,,,,,,,,,,,,,
,should be prevented to avoid its spreading from B1S1nuts.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
21/11/24 b2s6,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass ,,,,,,,,,,,,,,,,,,,,
diseases,"partial ,black sooty mould ",,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,partial inprogress,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,partial,,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
