1,date,section,metric,condition,notes,source,id
2.0,2024-11-20,B2S7,Insect pests,partial,"1 nut borer larvae, black citrus aphids, broad mites and few thrips",Original,
25.0,2024-11-20,B1S1,health status,partial,sooty mould need control,Original,
24.0,2024-11-20,B1S1,moisture,partial,,Original,
23.0,2024-11-20,B1S1,nutdrop,pass,,Original,
22.0,2024-11-20,B1S1,flowering,partial,,Original,
21.0,2024-11-20,B1S1,nutsetting,pass,,Original,
20.0,2024-11-20,B1S1,contours,fail,to be slashed,Original,
19.0,2024-11-20,B1S1,inaccessibles,partial,,Original,
17.0,2024-11-20,B1S1,inrows,fail,to be slashed,Original,
16.0,2024-11-20,B1S1,basin weeds,partial,inprogrees,Original,
15.0,2024-11-20,B1S1,diseases,partial,black sooty mould,Original,
14.0,2024-11-20,B1S1,Insect pests,partial,"few thrips,rapid meally bugs on nuts stalk",Original,
18.0,2024-11-20,B1S1,mowing,partial,inprogrees,Original,
12.0,2024-11-20,B2S7,nutdrop,pass,,Original,
13.0,2024-11-20,B2S7,health status,partial,,Original,
4.0,2024-11-20,B2S7,basin weeds,pass,still clean,Original,
5.0,2024-11-20,B2S7,inrows,fail,to be slashed,Original,
6.0,2024-11-20,B2S7,mowing,partial,,Original,
7.0,2024-11-20,B2S7,inaccessibles,partial,,Original,
3.0,2024-11-20,B2S7,diseases,pass,2 plants with sterm canker,Original,
9.0,2024-11-20,B2S7,dead plants,pass,,Original,
10.0,2024-11-20,B2S7,flowering,partial,,Original,
11.0,2024-11-20,B2S7,nutsetting,pass,,Original,
8.0,2024-11-20,B2S7,moisture,partial,,Original,
39.0,2024-11-21,B2S6,diseases,partial,black sooty mould,Original,
48.0,2024-11-21,B2S6,health status,partial,,Original,
47.0,2024-11-21,B2S6,nutdrop,pass,,Original,
46.0,2024-11-21,B2S6,nutsetting,pass,,Original,
45.0,2024-11-21,B2S6,flowering,partial,,Original,
43.0,2024-11-21,B2S6,inaccessibles,partial,,Original,
42.0,2024-11-21,B2S6,mowing,pass,,Original,
41.0,2024-11-21,B2S6,inrows,partial,inprogress,Original,
40.0,2024-11-21,B2S6,basin weeds,pass,,Original,
38.0,2024-11-21,B2S6,Insect pests,pass,,Original,
44.0,2024-11-21,B2S6,moisture,partial,,Original,
35.0,2024-11-21,B1S2,nutsetting,pass,,Original,
36.0,2024-11-21,B1S2,nutdrop,pass,,Original,
27.0,2024-11-21,B1S2,diseases,pass,,Original,
28.0,2024-11-21,B1S2,basin weeds,pass,,Original,
29.0,2024-11-21,B1S2,inrows,fail,to be slashed,Original,
26.0,2024-11-21,B1S2,Insect pests,partial,"few thrips,rapid meally bugs on nuts stalk",Original,
31.0,2024-11-21,B1S2,inaccessibles,fail,,Original,
32.0,2024-11-21,B1S2,contours,fail,,Original,
33.0,2024-11-21,B1S2,moisture,partial,,Original,
34.0,2024-11-21,B1S2,flowering,partial,,Original,
30.0,2024-11-21,B1S2,mowing,fail,need action,Original,
70.0,2024-11-22,B2S7,moisture,partial,,Original,
61.0,2024-11-22,B2S7,inrows,fail,,Original,
69.0,2024-11-22,B2S7,health status,partial,"due to colar rot,so painting of sterms is recommended",Original,
68.0,2024-11-22,B2S7,flowering,partial,,Original,
67.0,2024-11-22,B2S7,nutdrop,pass,,Original,
66.0,2024-11-22,B2S7,nutsetting,pass,,Original,
65.0,2024-11-22,B2S7,nutsetting,pass,,Original,
