id,date,section,metric,condition,notes
190,01/02/2025,B2S3,Damage,fail,Critical issues detected
176,01/02/2025,B2S5,Harvest,fail,Failed inspection
120,01/05/2025,B2S3,Disease,fail,Multiple infected plants
153,01/06/2025,B2S1A,pipes,partial,Some improvement needed
25,01/07/2025,B2S6,destumping,partial,Moderate condition - Low priority
133,01/07/2025,B1S2,moisture,partial,Partial irrigation
148,02/02/2025,B2S3,diseases,pass,No disease symptoms
171,02/03/2025,B1S2,leaf colour,partial,Some areas need attention - Low priority
53,02/05/2025,B2S7,Soil,pass,Optimal soil health - East section
146,02/05/2025,B1S2,fire guard,pass,Excellent performance - North section
194,03/02/2025,B2S7,Soil,pass,Fertile soil - 17% area coverage
2,03/03/2025,B2S8,health status,pass,No intervention needed
28,03/04/2025,B2S1A,flowering,partial,In progress
158,03/04/2025,B1S2,drippers,partial,Partial completion - 88% severity
92,03/04/2025,B2S1A,remaining nuts,fail,Urgent action required
11,03/05/2025,B2S1B,nutdrop,pass,Healthy growth observed
166,03/05/2025,B1S2,plant growth,pass,Good condition maintained
193,03/05/2025,B2S2,Harvest,pass,Excellent performance
93,03/06/2025,B1S2,Insect pests,partial,Some pest activity - High priority
145,03/06/2025,B2S1B,health status,pass,Excellent performance
143,03/06/2025,B2S3,Soil Moisture,partial,Partial completion - Medium priority
150,03/07/2025,B2S4,destumping,partial,Some areas need attention
121,03/07/2025,B2S1B,nutdrop,pass,No issues detected
160,04/03/2025,B2S8,mowing,partial,In progress
175,04/04/2025,B2S8,Pest,pass,No pest activity
96,05/04/2025,B1S2,basins,partial,Some improvement needed - 100% severity
200,05/04/2025,B2S5,basin formation,pass,Optimal conditions
43,05/06/2025,B2S1A,basin formation,partial,Requires monitoring - 24% severity
64,06/03/2025,B1S2,leaf colour,pass,Healthy growth observed
79,06/03/2025,B2S2,leaf colour,pass,No intervention needed - Morning inspection
19,06/04/2025,B2S2,inrows,pass,All systems operating normally - 46% area coverage
173,06/05/2025,B2S5,soil moisture,pass,No intervention needed - 4 plants affected
52,06/05/2025,B2S6,pruning,pass,All systems operating normally
119,06/05/2025,B2S7,bud break,pass,No issues detected
159,06/06/2025,B2S8,Insect pests,pass,Pest control effective - 31% severity
191,06/06/2025,B2S1B,fire guard,partial,Minor issues detected
115,06/07/2025,B1S2,Pest,pass,Pest-free area
184,06/07/2025,B2S2,Dead Plant,pass,Optimal conditions
20,07/02/2025,B2S5,nutsetting,pass,Optimal conditions
180,07/02/2025,B2S6,Soil Moisture,pass,No issues detected
27,07/03/2025,B2S1B,inrows,partial,Some areas need attention
17,07/04/2025,B1S1,staking,pass,Excellent performance
69,07/04/2025,B2S1B,bud break,partial,Requires monitoring
34,07/04/2025,B2S3,nutdrop,pass,All systems operating normally
97,07/04/2025,B2S5,Insect pests,pass,Pest control effective
99,07/06/2025,B1S2,Harvest,pass,Excellent performance
72,07/07/2025,B1S1,inrows,fail,Immediate action required
50,08/02/2025,B2S1A,Pest,fail,Pest damage evident
56,08/03/2025,B2S4,moisture,partial,Some areas dry - Afternoon inspection
4,08/03/2025,B2S7,moisture,pass,Optimal moisture levels
108,08/04/2025,B1S2,pests,partial,Moderate condition - Morning inspection
5,08/06/2025,B2S1B,Insect pests,pass,No pests detected
12,08/07/2025,B2S8,Growth,partial,Requires monitoring
38,09/03/2025,B2S8,soil nutrients,pass,Excellent performance
186,09/04/2025,B2S1B,Harvest,pass,No intervention needed
167,09/05/2025,B2S4,insect pests,pass,Optimal conditions
26,09/05/2025,B1S2,Damage,pass,Good condition maintained
169,09/06/2025,B2S1B,basins,pass,Good condition maintained
40,09/07/2025,B1S2,fire guard,pass,No issues detected
21,10/02/2025,B1S1,moisture,pass,Good soil moisture
42,10/03/2025,B2S5,inaccessibles,pass,Excellent performance
124,10/05/2025,B1S2,flowering,pass,Healthy growth observed
170,10/05/2025,B2S4,inrows,partial,Mixed results observed - 6 plants affected
35,10/05/2025,B2S8,nutdrop,partial,Requires monitoring
117,10/05/2025,B2S8,fire guard,pass,Excellent performance - 4 plants affected
60,10/07/2025,B2S5,Insect pests,pass,No pests detected - 23% area coverage
192,10/07/2025,B2S3,flowering,pass,No issues detected
3,11/03/2025,B1S2,pests,fail,Critical issues detected
118,11/05/2025,B2S6,nutsetting,fail,Intervention needed
98,11/05/2025,B2S1B,fire guard,partial,Moderate condition
165,12/02/2025,B2S6,destumping,pass,Standards met
197,12/02/2025,B2S2,Growth,pass,No intervention needed - 12% area coverage
84,12/04/2025,B2S6,leaf colour,pass,No intervention needed - 68% severity
15,12/04/2025,B2S1B,Soil Moisture,pass,Standards met
23,12/04/2025,B2S4,contours,fail,Critical issues detected
181,12/04/2025,B2S3,pests,partial,Some areas need attention - North section
107,12/05/2025,B2S1A,Soil Moisture,pass,All systems operating normally
90,12/06/2025,B2S2,inrows,partial,In progress - Medium priority
123,12/06/2025,B2S2,bud break,pass,Healthy growth observed
71,12/06/2025,B2S2,health status,pass,No issues detected - 8 plants affected
8,12/07/2025,B2S2,plant growth,pass,Excellent performance - 3 plants affected
188,13/02/2025,B2S6,insect pests,pass,No issues detected - 24% area coverage
138,13/03/2025,B2S5,basins,pass,Standards met
95,13/06/2025,B2S2,Dead Plant,pass,Standards met
182,14/02/2025,B2S4,contours,partial,Requires monitoring - Morning inspection
198,14/03/2025,B2S5,Soil Moisture,partial,Some areas need attention
113,14/03/2025,B2S1B,basin formation,partial,Mixed results observed
37,14/03/2025,B2S1B,inrows,partial,In progress - High priority
161,14/04/2025,B2S1B,diseases,pass,Healthy plants
57,14/04/2025,B2S6,staking,partial,Partial completion
125,14/04/2025,B2S5,bud break,partial,Some areas need attention - 20% area coverage
172,15/02/2025,B2S4,fire guard,pass,Excellent performance
102,15/03/2025,B2S5,Damage,partial,In progress
105,15/03/2025,B2S2,Soil,pass,Fertile soil
65,15/04/2025,B2S8,moisture,partial,Some areas dry
59,15/04/2025,B2S7,moisture,pass,Good soil moisture
164,15/06/2025,B2S6,Dead Plant,pass,Standards met
70,15/06/2025,B2S3,nutsetting,partial,In progress - High priority
196,15/06/2025,B1S2,plant growth,partial,Partial completion
183,15/07/2025,B2S2,inaccessibles,fail,Failed inspection
142,15/07/2025,B2S1A,fire guard,partial,Minor issues detected
47,15/07/2025,B2S5,mowing,partial,Minor issues detected
151,16/02/2025,B1S2,basin formation,pass,Excellent performance
94,16/02/2025,B1S2,Harvest,partial,In progress - South section
104,16/02/2025,B2S3,inrows,pass,Standards met
101,16/03/2025,B2S1A,Pest,pass,Pest-free area - 1 plants affected
152,16/05/2025,B2S1B,Dead Plant,pass,Healthy growth observed
68,16/05/2025,B2S6,soil moisture,fail,Requires immediate attention
144,16/06/2025,B2S3,Damage,partial,Partial completion
62,16/07/2025,B2S1A,bud break,pass,Excellent performance - 15% area coverage
116,17/02/2025,B2S3,soil nutrients,pass,All systems operating normally
85,17/03/2025,B2S3,insect pests,fail,Standards not met
67,17/04/2025,B1S2,basin weeds,pass,Standards met - High priority
86,17/04/2025,B2S6,Soil Moisture,pass,Excellent performance
80,17/05/2025,B2S1B,fire guard,partial,Some areas need attention
7,17/06/2025,B2S1B,Weather,pass,Good weather
89,17/07/2025,B2S1B,leaf colour,fail,Requires immediate attention
45,17/07/2025,B2S8,Disease,pass,Healthy crop
135,18/02/2025,B2S7,health status,fail,Immediate action required
106,18/02/2025,B2S2,pruning,partial,Minor issues detected
10,18/02/2025,B2S6,Soil,pass,Optimal soil health
22,18/04/2025,B2S1A,Weather,partial,Variable weather
24,18/06/2025,B2S5,diseases,partial,Minor infection
51,19/01/2025,B2S6,insect pests,pass,Good condition maintained - 81% severity
41,19/01/2025,B2S1B,Growth,pass,No intervention needed
189,19/02/2025,B1S2,bud break,partial,Some improvement needed
110,19/04/2025,B2S8,Harvest,pass,All systems operating normally - 21% severity
122,19/04/2025,B2S6,diseases,pass,Healthy plants
140,19/05/2025,B2S7,health status,partial,Requires monitoring - 56% severity
132,20/01/2025,B2S3,drippers,pass,Good condition maintained - Morning inspection
100,20/04/2025,B2S2,Harvest,partial,Minor issues detected
83,20/04/2025,B1S2,Dead Plant,pass,No issues detected
130,20/05/2025,B2S1A,Damage,pass,All systems operating normally
156,20/05/2025,B2S8,Harvest,fail,Urgent action required - 25% area coverage
149,20/06/2025,B2S5,Pest,partial,Monitoring needed
36,21/01/2025,B1S2,diseases,pass,Healthy plants
137,21/02/2025,B1S1,staking,partial,Some improvement needed
174,21/02/2025,B2S7,Harvest,pass,All systems operating normally
147,21/04/2025,B1S1,inaccessibles,pass,All systems operating normally - North section
13,21/06/2025,B1S2,Damage,partial,Mixed results observed
157,22/01/2025,B2S7,drippers,fail,Critical issues detected
114,22/03/2025,B2S2,Harvest,pass,Good condition maintained - 7 plants affected
141,22/05/2025,B2S2,diseases,pass,Healthy plants
18,22/05/2025,B2S6,pipes,pass,No intervention needed
128,22/05/2025,B2S5,Soil Moisture,pass,Excellent performance
33,22/06/2025,B2S8,nutsetting,fail,Immediate action required
55,22/06/2025,B2S8,soil moisture,pass,Optimal conditions
185,23/03/2025,B2S4,Weather,pass,Favorable conditions
178,23/04/2025,B1S1,Harvest,partial,Partial completion
112,23/04/2025,B2S1B,basins,pass,Good condition maintained
155,23/06/2025,B2S8,destumping,pass,Good condition maintained - 7% area coverage
63,24/01/2025,B1S2,contours,partial,In progress
87,24/01/2025,B2S2,plant growth,pass,Standards met
129,24/02/2025,B1S1,Soil,pass,Good soil condition
163,24/03/2025,B2S8,diseases,partial,Minor infection - East section
127,24/03/2025,B2S1B,basin weeds,partial,Moderate condition - Low priority
111,24/04/2025,B2S3,Disease,pass,Healthy crop
136,24/05/2025,B1S1,inaccessibles,pass,No issues detected
6,24/06/2025,B1S1,nutsetting,pass,All systems operating normally
199,24/06/2025,B2S4,plant growth,pass,Standards met
9,25/01/2025,B2S6,Dead Plant,pass,No issues detected - 9 plants affected
49,25/01/2025,B2S1A,staking,pass,Standards met
195,25/02/2025,B2S5,diseases,partial,Minor infection
14,25/03/2025,B2S3,plant growth,fail,Immediate action required
39,25/03/2025,B1S2,leaf colour,partial,Some areas need attention
44,25/04/2025,B1S1,bud break,pass,Optimal conditions
