1,date,section,metric,condition,notes
2,20/11/2024,B2S7,Insect pests,partial,"1 nut borer larvae, black citrus aphids, broad mites and few thrips"
3,20/11/2024,B2S7,diseases,pass,2 plants with sterm canker
4,20/11/2024,B2S7,basin weeds,pass,still clean
5,20/11/2024,B2S7,inrows,fail,to be slashed
6,20/11/2024,B2S7,mowing,partial,
7,20/11/2024,B2S7,inaccessibles,partial,
8,20/11/2024,B2S7,moisture,partial,
9,20/11/2024,B2S7,dead plants,pass,
10,20/11/2024,B2S7,flowering,partial,
11,20/11/2024,B2S7,nutsetting,pass,
12,20/11/2024,B2S7,nutdrop,pass,
13,20/11/2024,B2S7,health status,partial,
14,20/11/2024,B1S1,Insect pests,partial,"few thrips,rapid meally bugs on nuts stalk"
15,20/11/2024,B1S1,diseases,partial,black sooty mould
16,20/11/2024,B1S1,basin weeds,partial,inprogrees
17,20/11/2024,B1S1,inrows,fail,to be slashed
18,20/11/2024,B1S1,mowing,partial,inprogrees
19,20/11/2024,B1S1,inaccessibles,partial,
20,20/11/2024,B1S1,contours,fail,to be slashed
21,20/11/2024,B1S1,nutsetting,pass,
22,20/11/2024,B1S1,flowering,partial,
23,20/11/2024,B1S1,nutdrop,pass,
24,20/11/2024,B1S1,moisture,partial,
25,20/11/2024,B1S1,health status,partial,sooty mould need control
26,21/11/2024,B1S2,Insect pests,partial,"few thrips,rapid meally bugs on nuts stalk"
27,21/11/2024,B1S2,diseases,pass,
28,21/11/2024,B1S2,basin weeds,pass,
29,21/11/2024,B1S2,inrows,fail,to be slashed
30,21/11/2024,B1S2,mowing,fail,need action
31,21/11/2024,B1S2,inaccessibles,fail,
32,21/11/2024,B1S2,contours,fail,
33,21/11/2024,B1S2,moisture,partial,
34,21/11/2024,B1S2,flowering,partial,
35,21/11/2024,B1S2,nutsetting,pass,
36,21/11/2024,B1S2,nutdrop,pass,
38,21/11/2024,B2S6,Insect pests,pass,
39,21/11/2024,B2S6,diseases,partial,black sooty mould
40,21/11/2024,B2S6,basin weeds,pass,
41,21/11/2024,B2S6,inrows,partial,inprogress
42,21/11/2024,B2S6,mowing,pass,
43,21/11/2024,B2S6,inaccessibles,partial,
44,21/11/2024,B2S6,moisture,partial,
45,21/11/2024,B2S6,flowering,partial,
46,21/11/2024,B2S6,nutsetting,pass,
47,21/11/2024,B2S6,nutdrop,pass,
48,21/11/2024,B2S6,health status,partial,
49,22/11/2024,B2S7,Insect pests,pass,
50,22/11/2024,B2S7,diseases,partial,sterm canker on 3 plants
51,22/11/2024,B2S7,basin weeds,pass,
52,22/11/2024,B2S7,inrows,fail,
53,22/11/2024,B2S7,mowing,fail,
54,22/11/2024,B2S7,inaccessibles,fail,
55,22/11/2024,B2S7,dead plants,pass,
56,22/11/2024,B2S7,health status,pass,
58,22/11/2024,B2S7,Insect pests,pass,
59,22/11/2024,B2S7,diseases,partial,
60,22/11/2024,B2S7,basin weeds,pass,
61,22/11/2024,B2S7,inrows,fail,
62,22/11/2024,B2S7,mowing,fail,
63,22/11/2024,B2S7,inaccessibles,fail,
64,22/11/2024,B2S7,dead plants,partial,.2 pants
65,22/11/2024,B2S7,nutsetting,pass,
66,22/11/2024,B2S7,nutsetting,pass,
67,22/11/2024,B2S7,nutdrop,pass,
68,22/11/2024,B2S7,flowering,partial,
69,22/11/2024,B2S7,health status,partial,"due to colar rot,so painting of sterms is recommended"
70,22/11/2024,B2S7,moisture,partial,
71,23/11/2024,B2S1A,Insect pests,pass,
72,23/11/2024,B2S1A,diseases,pass,
73,23/11/2024,B2S1A,basin weeds,pass,
74,23/11/2024,B2S1A,inrows,pass,shrubs regrowth
75,23/11/2024,B2S1A,mowing,pass,
76,23/11/2024,B2S1A,inaccessibles,fail,
77,23/11/2024,B2S1A,moisture,partial,
78,23/11/2024,B2S1A,nutsetting,pass,
79,23/11/2024,B2S1A,nutdrop,partial,
80,23/11/2024,B2S1A,flowering,partial,at extension
81,23/11/2024,B2S1A,dead plants,pass,
82,23/11/2024,B2S1A,health status,pass,nuts looks healthy and big
83,23/11/2024,B2S1B,Insect pests,pass,
84,23/11/2024,B2S1B,diseases,pass,
85,23/11/2024,B2S1B,basin weeds,partial,incompete
86,23/11/2024,B2S1B,inrows,pass,
87,23/11/2024,B2S1B,mowing,pass,
88,23/11/2024,B2S1B,inaccessibles,fail,"Shingizha grass makes the field dirty ,so destumping is the best"
89,23/11/2024,B2S1B,nutsetting,partial,
90,23/11/2024,B2S1B,nutdrop,partial,
91,23/11/2024,B2S1B,flowering,partial,
92,23/11/2024,B2S1B,dead plants,pass,
93,23/11/2024,B2S1B,health status,pass,
94,23/11/2024,B2S3,Insect pests,pass,
95,23/11/2024,B2S3,diseases,pass,
96,23/11/2024,B2S3,basin weeds,pass,
97,23/11/2024,B2S3,inrows,partial,grass regrowth
98,23/11/2024,B2S3,mowing,fail,
99,23/11/2024,B2S3,inaccessibles,fail,
100,23/11/2024,B2S3,moisture,partial,
101,23/11/2024,B2S3,dead plants,pass,
102,23/11/2024,B2S3,nutsetting,partial,
103,23/11/2024,B2S3,flowering,partial,
104,23/11/2024,B2S3,nutdrop,pass,
105,23/11/2024,B2S3,health status,pass,
106,25/11/2024,B2S2,Insect pests,pass,
107,25/11/2024,B2S2,diseases,pass,
108,25/11/2024,B2S2,basin weeds,pass,
109,25/11/2024,B2S2,inrows,partial,due to shrubs
110,25/11/2024,B2S2,mowing,partial,grass regrowth
111,25/11/2024,B2S2,inaccessibles,partial,small portions require slashing
112,25/11/2024,B2S2,dead plants,pass,
113,25/11/2024,B2S2,moisture,partial,
114,25/11/2024,B2S2,nutsetting,partial,
115,25/11/2024,B2S2,flowering,partial,
116,25/11/2024,B2S2,nutdrop,pass,
117,25/11/2024,B2S2,health status,pass,
118,25/11/2024,B2S4,Insect pests,pass,
119,25/11/2024,B2S4,diseases,pass,
120,25/11/2024,B2S4,basin weeds,pass,
121,25/11/2024,B2S4,inrows,partial,grass regrowth
122,25/11/2024,B2S4,mowing,fail,
123,25/11/2024,B2S4,inaccessibles,partial,inprogress destumping withExcavator and incomplete slashing
124,25/11/2024,B2S4,dead plants,pass,
125,25/11/2024,B2S4,nutsetting,fail,
126,25/11/2024,B2S4,flowering,fail,
127,25/11/2024,B2S4,nutdrop,pass,
128,25/11/2024,B2S4,moisture,partial,
129,25/11/2024,B2S4,health status,partial,
130,27/11/2024,B1S1,Insect pests,partial,meallybugs spreading everywhere in B1S1
131,27/11/2024,B1S1,diseases,pass,sooty mould decreased
132,27/11/2024,B1S1,basin weeds,partial,inprogress
133,27/11/2024,B1S1,inrows,fail,to be slashed to avoid pests hosting
134,27/11/2024,B1S1,mowing,pass,
135,27/11/2024,B1S1,inaccessibles,partial,
136,27/11/2024,B1S1,contours,fail,
137,27/11/2024,B1S1,dead plants,pass,
138,27/11/2024,B1S1,moisture,partial,
139,27/11/2024,B1S1,flowering,partial,
140,27/11/2024,B1S1,nutsetting,pass,most of the plants have pea size nuts from late flowering
141,27/11/2024,B1S1,nutdrop,pass,
142,27/11/2024,B1S1,health status,pass,"macadamia nuts looks big,green and health"
143,27/11/2024,B1S2,Insect pests,pass,
144,27/11/2024,B1S2,diseases,pass,sooty mould decreased
145,27/11/2024,B1S2,basin weeds,pass,cleaned
